[[32;1;1mINFO[0m] Connection established.
Buying Power	Total Shares	Total P&L	Timestamp
        0.00	           0	     0.00	2020-04-17 10:40:23.836163
Symbol				Type	  Price		Size	Executed	ID														 Status		Timestamp
   NKE	 Type.LIMIT_SELL	  82.41		   1		   0	16a8c7b8-fdb2-41ee-8ddc-d58608b7375b	     Status.PENDING_NEW		2020-04-17 10:40:29.161483
   NKE	  Type.LIMIT_BUY	  77.61		   1		   0	86f07322-6bd0-4a33-84e0-2c9646fef3fa	     Status.PENDING_NEW		2020-04-17 10:40:29.161599
   NKE	 Type.LIMIT_SELL	  85.42		   1		   0	6e708999-7ed5-4da7-addf-a6e94fd84110	     Status.PENDING_NEW		2020-04-17 10:40:29.161715
   NKE	  Type.LIMIT_BUY	  80.46		   1		   0	77460797-4097-4e94-8959-df7fc201fcb6	     Status.PENDING_NEW		2020-04-17 10:40:29.161830
   NKE	 Type.LIMIT_SELL	  82.57		   1		   0	a18dbfa1-77a6-4a15-be33-1f0e0a69b728	     Status.PENDING_NEW		2020-04-17 10:40:29.161943
   NKE	  Type.LIMIT_BUY	  75.16		   1		   0	f3d6ac98-863c-4f08-9086-22dd0451321f	     Status.PENDING_NEW		2020-04-17 10:40:29.162059
   NKE	 Type.LIMIT_SELL	  87.87		   1		   0	0fef1c5f-733e-4222-94b0-1fea6f769776	     Status.PENDING_NEW		2020-04-17 10:40:29.162185
    PG	  Type.LIMIT_BUY	 199.18		   1		   0	f6b65de5-03ff-40d4-b7ca-aa4d26d9812b	     Status.PENDING_NEW		2020-04-17 10:40:29.162319
    PG	  Type.LIMIT_BUY	 104.73		   1		   0	b8b30581-8aef-47eb-adc5-fa908585faff	     Status.PENDING_NEW		2020-04-17 10:40:29.162496
    PG	 Type.LIMIT_SELL	 106.13		   1		   0	ef8b0e5b-41b2-44b2-b6c1-34e6144a51b8	     Status.PENDING_NEW		2020-04-17 10:40:29.162621
    PG	  Type.LIMIT_BUY	 104.72		   1		   0	9ec3b7cc-f7d8-48f1-b1e3-62b05d3f3fe0	     Status.PENDING_NEW		2020-04-17 10:40:29.162740
    PG	 Type.LIMIT_SELL	 106.14		   1		   0	2f27d7bf-5b2e-4dd2-80f4-be01e40b4ff6	     Status.PENDING_NEW		2020-04-17 10:40:29.162860
    PG	  Type.LIMIT_BUY	 104.68		   1		   0	50c47f7c-adb2-466c-bf6a-5a919538b4f2	     Status.PENDING_NEW		2020-04-17 10:40:29.162979
    PG	 Type.LIMIT_SELL	 106.18		   1		   0	9dfcf709-86a1-4a03-942a-ed060373d5b6	     Status.PENDING_NEW		2020-04-17 10:40:29.163147
    PG	  Type.LIMIT_BUY	 104.62		   1		   0	94208b54-8946-48f1-a4c9-d2a3718ff9fe	     Status.PENDING_NEW		2020-04-17 10:40:29.163315
    PG	 Type.LIMIT_SELL	 106.24		   1		   0	18c2d2f0-88e8-48c3-b3e1-25523d0f8e3c	     Status.PENDING_NEW		2020-04-17 10:40:29.163451
    PG	  Type.LIMIT_BUY	 104.57		   1		   0	e1edcc04-5648-4316-9ec3-30ed97cfe6f7	     Status.PENDING_NEW		2020-04-17 10:40:29.163569
    PG	 Type.LIMIT_SELL	 106.29		   1		   0	56eea6c2-a8ae-46ab-929d-a73ed8b1364b	     Status.PENDING_NEW		2020-04-17 10:40:29.163687
    PG	  Type.LIMIT_BUY	 104.52		   1		   0	0a3ba791-ac87-4ba4-805e-c332ecb8fda7	     Status.PENDING_NEW		2020-04-17 10:40:29.163804
    PG	 Type.LIMIT_SELL	 106.34		   1		   0	7fe90c85-c4e2-44b4-b112-a3f7747875aa	     Status.PENDING_NEW		2020-04-17 10:40:29.163919
    PG	  Type.LIMIT_BUY	 104.41		   1		   0	a0b0d00e-307e-4b8c-ac57-396f4bb2443a	     Status.PENDING_NEW		2020-04-17 10:40:29.164058
    PG	 Type.LIMIT_SELL	 106.45		   1		   0	ce94f2f7-fb93-4e20-a61f-585a176263ed	     Status.PENDING_NEW		2020-04-17 10:40:29.164202
    PG	  Type.LIMIT_BUY	 100.51		   1		   0	9ee7e067-a5b6-45d2-bc68-953d6912cab8	     Status.PENDING_NEW		2020-04-17 10:40:29.164348
    PG	 Type.LIMIT_SELL	 110.35		   1		   0	f60d803e-4540-41d6-bbb6-2864178f2989	     Status.PENDING_NEW		2020-04-17 10:40:29.164469
    PG	  Type.LIMIT_BUY	 104.20		   1		   0	586ea592-d68f-40ff-a785-47f2d4b8efa6	     Status.PENDING_NEW		2020-04-17 10:40:29.164585
    PG	 Type.LIMIT_SELL	 106.66		   1		   0	4fede76b-dfb2-4c55-831d-69f085a19357	     Status.PENDING_NEW		2020-04-17 10:40:29.164698
    PG	  Type.LIMIT_BUY	  97.35		   1		   0	7f1e8daf-8e77-4a3b-b83d-811c05f9c214	     Status.PENDING_NEW		2020-04-17 10:40:29.164878
    PG	 Type.LIMIT_SELL	 113.51		   1		   0	52bfca0c-55ae-46f8-89fc-b7343dd50aeb	     Status.PENDING_NEW		2020-04-17 10:40:29.165047
   WMT	  Type.LIMIT_BUY	 199.18		   1		   0	83fb0762-aa4b-4a70-a0ba-506f3acb1ece	     Status.PENDING_NEW		2020-04-17 10:40:29.165189
   WMT	  Type.LIMIT_BUY	 100.25		   1		   0	6add9251-b215-4545-ad80-44c7c1b109ed	     Status.PENDING_NEW		2020-04-17 10:40:29.165314
   WMT	 Type.LIMIT_SELL	 101.61		   1		   0	89c5a660-13ef-474a-aaf2-49cedf6e8012	     Status.PENDING_NEW		2020-04-17 10:40:29.165448
   WMT	  Type.LIMIT_BUY	 100.24		   1		   0	581c500e-5758-436c-a80e-391ad4319664	     Status.PENDING_NEW		2020-04-17 10:40:29.165603
   WMT	 Type.LIMIT_SELL	 101.62		   1		   0	5c04c602-d2e7-40fb-8bec-617d79afb6ee	     Status.PENDING_NEW		2020-04-17 10:40:29.165780
   WMT	  Type.LIMIT_BUY	 100.20		   1		   0	4ac25b4c-9411-4fcb-9c12-6f838b8f6ed9	     Status.PENDING_NEW		2020-04-17 10:40:29.165906
   WMT	 Type.LIMIT_SELL	 101.66		   1		   0	23fbe064-5626-4f23-b29f-1fc509d53bf0	     Status.PENDING_NEW		2020-04-17 10:40:29.166047
   WMT	  Type.LIMIT_BUY	 100.15		   1		   0	09f9c2e3-cc61-4ec6-b117-2c27b860b4d1	     Status.PENDING_NEW		2020-04-17 10:40:29.166165
   WMT	 Type.LIMIT_SELL	 101.71		   1		   0	3b34ce9d-5b89-423f-a560-2bbccc04c98d	     Status.PENDING_NEW		2020-04-17 10:40:29.166281
   WMT	  Type.LIMIT_BUY	 100.10		   1		   0	b99959cd-b3ed-469a-8376-dfccdca92182	     Status.PENDING_NEW		2020-04-17 10:40:29.166397
   WMT	 Type.LIMIT_SELL	 101.76		   1		   0	92786c2e-b5ea-47df-90b1-960dbcf15441	     Status.PENDING_NEW		2020-04-17 10:40:29.166511
   WMT	  Type.LIMIT_BUY	 100.05		   1		   0	dbdba991-608d-4630-b353-eb96b53922a5	     Status.PENDING_NEW		2020-04-17 10:40:29.166630
   WMT	 Type.LIMIT_SELL	 101.81		   1		   0	3fd11e4d-46ec-4114-91b4-bfd09946ac20	     Status.PENDING_NEW		2020-04-17 10:40:29.166744
   WMT	  Type.LIMIT_BUY	  99.95		   1		   0	6c0fc8a8-031e-42ac-bd09-816c10be9d54	     Status.PENDING_NEW		2020-04-17 10:40:29.166859
   WMT	 Type.LIMIT_SELL	 101.91		   1		   0	1b6f75e0-a152-465b-b862-51865bedfe7c	     Status.PENDING_NEW		2020-04-17 10:40:29.166976
   WMT	  Type.LIMIT_BUY	  96.21		   1		   0	333da07b-4d50-4f06-afc4-a9e39d318f21	     Status.PENDING_NEW		2020-04-17 10:40:29.167089
   WMT	 Type.LIMIT_SELL	 105.65		   1		   0	7c47464d-fd3d-44a7-90e7-9a98e743c51e	     Status.PENDING_NEW		2020-04-17 10:40:29.167204
   WMT	  Type.LIMIT_BUY	  99.74		   1		   0	4fdb2a70-2141-40a2-bba5-76b9215d2d12	     Status.PENDING_NEW		2020-04-17 10:40:29.167318
   WMT	 Type.LIMIT_SELL	 102.12		   1		   0	afeeab45-1607-4608-be0b-ac6422cfd638	     Status.PENDING_NEW		2020-04-17 10:40:29.167432
   WMT	  Type.LIMIT_BUY	  93.18		   1		   0	63c9669d-e133-4b10-b881-89f45cd60fad	     Status.PENDING_NEW		2020-04-17 10:40:29.167550
   WMT	 Type.LIMIT_SELL	 108.68		   1		   0	493d711e-9a58-4707-aa9d-29fa754d6363	     Status.PENDING_NEW		2020-04-17 10:40:29.167663
  AAPL	  Type.LIMIT_BUY	 188.81		   1		   0	279f44a9-33f4-4dd6-8f69-41028df0a980	     Status.PENDING_NEW		2020-04-17 10:40:29.167809
  AAPL	  Type.LIMIT_BUY	 187.16		   1		   0	b425cd0d-60a9-4d73-8dc6-16e036977876	     Status.PENDING_NEW		2020-04-17 10:40:29.167929
  AAPL	  Type.LIMIT_BUY	 187.14		   1		   0	950d346d-1ac1-4b87-b0e9-4bf854a5ac44	     Status.PENDING_NEW		2020-04-17 10:40:29.168076
  AAPL	  Type.LIMIT_BUY	 187.06		   1		   0	6359d081-e1f0-4284-8d7b-d2fc3abe380b	     Status.PENDING_NEW		2020-04-17 10:40:29.168198
  AAPL	  Type.LIMIT_BUY	 186.97		   1		   0	9e9d064f-0a7b-4e08-a17a-f063e561feee	     Status.PENDING_NEW		2020-04-17 10:40:29.168315
  AAPL	  Type.LIMIT_BUY	 186.87		   1		   0	3a18b592-abe8-4830-b516-0b5730229795	     Status.PENDING_NEW		2020-04-17 10:40:29.168431
  AAPL	  Type.LIMIT_BUY	 186.78		   1		   0	07166ad5-808c-4fba-9091-154e16ccf7d0	     Status.PENDING_NEW		2020-04-17 10:40:29.168547
  AAPL	  Type.LIMIT_BUY	 186.59		   1		   0	cbe5c086-8083-4ecf-a291-db18bb064683	     Status.PENDING_NEW		2020-04-17 10:40:29.168661
  AAPL	  Type.LIMIT_BUY	 179.61		   1		   0	860e898f-1d3a-4ccb-a796-121f38ca7e9d	     Status.PENDING_NEW		2020-04-17 10:40:29.168779
  AAPL	  Type.LIMIT_BUY	 186.21		   1		   0	31fa0c7c-ac82-4422-b943-5555a6746b45	     Status.PENDING_NEW		2020-04-17 10:40:29.168949
  AAPL	  Type.LIMIT_BUY	 173.94		   1		   0	6370092e-1591-46bb-b1dd-e525cae29b35	     Status.PENDING_NEW		2020-04-17 10:40:29.169083
  CSCO	  Type.LIMIT_BUY	 188.81		   1		   0	1ddf280e-b837-4044-837d-423b5f2cfe3c	     Status.PENDING_NEW		2020-04-17 10:40:29.169216
  CSCO	  Type.LIMIT_BUY	  51.67		   1		   0	ad5e428d-7782-4d7d-86e3-9ee186e2c2c0	     Status.PENDING_NEW		2020-04-17 10:40:29.169336
  CSCO	  Type.LIMIT_BUY	  51.66		   1		   0	376eb42e-9aa7-4252-a5c0-dd4e6e066aca	     Status.PENDING_NEW		2020-04-17 10:40:29.169452
  CSCO	  Type.LIMIT_BUY	  51.64		   1		   0	957163ed-c0f0-4483-843d-eae13fdd7e61	     Status.PENDING_NEW		2020-04-17 10:40:29.169579
  CSCO	  Type.LIMIT_BUY	  51.62		   1		   0	f7241274-33fa-4ccb-80f6-7235ac63ecef	     Status.PENDING_NEW		2020-04-17 10:40:29.169698
  CSCO	  Type.LIMIT_BUY	  51.59		   1		   0	0c4d3d86-d1b0-486f-9e21-8132f9f70ae6	     Status.PENDING_NEW		2020-04-17 10:40:29.169814
  CSCO	  Type.LIMIT_BUY	  51.57		   1		   0	8a7b75fd-551c-408e-8a3d-9e7bfb0a9f19	     Status.PENDING_NEW		2020-04-17 10:40:29.169929
  CSCO	  Type.LIMIT_BUY	  51.51		   1		   0	c5006ec8-f164-4eb3-9abe-92c5669ba39c	     Status.PENDING_NEW		2020-04-17 10:40:29.170041
  CSCO	  Type.LIMIT_BUY	  49.59		   1		   0	c7a3d88c-7fd5-4831-b216-01bef42f9b71	     Status.PENDING_NEW		2020-04-17 10:40:29.170156
  CSCO	  Type.LIMIT_BUY	  51.41		   1		   0	469ff901-a7c7-4177-929d-2991b7b80dfb	     Status.PENDING_NEW		2020-04-17 10:40:29.170271
  CSCO	  Type.LIMIT_BUY	  48.02		   1		   0	916b6b5b-037f-4664-9582-0df8de34c31f	     Status.PENDING_NEW		2020-04-17 10:40:29.170384
